166 123 91	Beige - French_beige
133 109 77	Bistre - French_bistre
0 114 187	Shades_of_azure - French_blue
253 63 146	Fuchsia_(color) - French_fuchsia
134 96 142	Lilac_(color) - French_lilac
158 253 56	Lime_(color) - French_lime
212 115 212	Mauve - French_mauve_(deep_mauve)
253 108 158	Shades_of_pink - French_pink
199 44 72	Raspberry_(color) - French_raspberry
246 74 138	Rose_(color) - French_rose
119 181 254	Sky_blue - French_sky_blue
136 6 206	Shades_of_violet - French_violet
233 54 167	List_of_Crayola_crayon_colors - Extreme_Twistables_colors
255 0 255	Fuchsia_(color)
193 84 193	Fuchsia_(color) - Deep_fuchsia
204 57 123	Fuchsia_(color) - Fuchsia_purple
199 67 117	Rose_(color) - Fuchsia_rose
228 132 0	Fulvous
135 66 31	List_of_Crayola_crayon_colors - Standard_colors


